date,maxTemp,minTemp,avgTemp,tempDept,relHum,dewPoint,wetBulbTemp,heatDays,coolDays,sunrise,sunset,weatherType,precip,snow,snowDepth,stnPressure,seaPressure,windSpeed,windPeakSpeed,windPeakDir,windSusSpeed,windSusDir
21-May,74,51,62,2.7,52,43,52,3,0,509,2001,,0,0,0,29.13,30.06,6.2,22,50,17,360
22-May,70,48,59,-0.6,53,43,52,6,0,509,2002,,0,0,0,29.1,30.04,6.7,24,40,18,30
23-May,78,42,60,0,44,39,50,5,0,508,2003,,0,0,0,29.1,30.03,2.4,14,190,10,200
24-May,84,49,66,5.7,43,46,57,0,1,507,2004,,0,0,0,29.07,29.99,6.9,27,220,18,230
25-May,85,64,74,13.3,54,57,64,0,9,506,2005,,0,0,0,29.07,29.99,8.8,22,210,15,170
26-May,84,63,74,13,71,63,67,0,9,506,2006,"TS,RA,BR",0.19,0,0,29,29.92,10.2,28,190,22,260
27-May,85,63,74,12.7,67,63,67,0,9,505,2007,,0,0,0,29.01,29.93,6.3,22,190,17,230
28-May,86,67,76,14.3,68,63,68,0,11,504,2007,"RA,TS",0.13,0,0,29.05,29.97,9.7,37,200,28,210
29-May,84,64,74,12,64,61,66,0,9,504,2008,RA,0.01,0,0,29.05,29.97,12.3,36,250,26,270
30-May,83,60,72,9.6,58,55,62,0,7,503,2009,,0,0,0,29.06,29.98,6.6,23,280,16,310
31-May,83,53,68,5.3,56,52,59,0,3,503,2010,,0,0,0,29.1,30.03,4.7,24,200,13,30
1-Jun,80,59,70,6.9,63,56,61,0,5,502,2011,,T,0,0,29.07,29.98,5.6,21,130,16,150
2-Jun,80,57,68,4.6,57,52,60,0,3,502,2011,,0,0,0,29.05,29.99,8.3,28,260,22,240
3-Jun,81,51,66,2.2,58,51,58,0,1,501,2012,,0,0,0,29.11,30.05,2.8,13,260,10,320
4-Jun,83,57,70,5.9,68,57,62,0,5,501,2013,"RA,BR",0.07,0,0,28.97,29.85,8.7,27,180,22,160
5-Jun,70,60,65,0.5,77,58,61,0,0,501,2013,"TS,RA,BR",0.16,0,0,28.69,29.6,11.9,34,260,26,260
6-Jun,80,55,68,3.2,61,51,57,0,3,500,2014,RA,0.01,0,0,28.7,29.63,12.7,38,270,31,270
7-Jun,63,48,56,-9.2,74,48,52,9,0,500,2015,,0,0,0,28.82,29.77,10.5,23,300,17,290
8-Jun,69,45,57,-8.5,56,40,49,8,0,500,2015,,0,0,0,29,29.96,8.7,27,290,18,300
9-Jun,71,44,58,-7.8,59,45,52,7,0,500,2016,,T,0,0,29.1,30.04,3.5,23,230,18,230
10-Jun,86,54,70,3.8,57,57,63,0,5,500,2016,,0,0,0,29.05,29.98,7.7,20,230,15,200
11-Jun,91,71,81,14.5,54,62,68,0,16,459,2017,,0,0,0,28.97,29.89,12.1,32,260,24,260
12-Jun,81,56,68,1.2,40,40,54,0,3,459,2017,,0,0,0,29.13,30.08,8.4,22,310,16,330
13-Jun,72,50,61,-6.1,60,48,54,4,0,459,2018,RA,0.03,0,0,29.13,30.05,4.8,15,140,12,40
14-Jun,76,60,68,0.6,55,50,57,0,3,459,2018,,0,0,0,29.05,29.97,9.3,23,140,20,130
15-Jun,87,62,74,6.3,64,58,64,0,9,459,2019,"TS,RA",0.03,0,0,28.9,29.79,6.4,20,150,17,140
16-Jun,71,62,66,-2,85,62,64,0,1,459,2019,"RA,BR",0.28,0,0,28.82,29.76,7.5,24,10,17,360
17-Jun,87,53,70,1.7,56,53,61,0,5,459,2019,,0,0,0,29.1,30.05,4.3,21,110,15,100
18-Jun,90,56,73,4.5,48,52,61,0,8,500,2020,,0,0,0,29.28,30.21,2.4,15,180,10,180
19-Jun,91,61,76,7.2,46,54,64,0,11,500,2020,,0,0,0,29.28,30.2,6.6,23,230,17,220
20-Jun,90,65,78,8.9,56,62,68,0,13,500,2020,"TS,RA",T,0,0,29.08,29.99,14.4,37,260,28,260
21-Jun,81,53,67,-2.3,49,48,57,0,2,500,2020,,0,0,0,29.01,29.92,8.1,32,280,23,290
22-Jun,84,54,69,-0.5,51,51,60,0,4,500,2020,,0,0,0,28.97,29.89,3.5,17,280,13,280
23-Jun,78,59,68,-1.8,58,52,59,0,3,501,2021,RA,T,0,0,28.96,29.9,7.5,25,60,20,50
24-Jun,85,53,69,-1,43,46,57,0,4,501,2021,,0,0,0,29.14,30.08,3.5,16,90,13,80
25-Jun,89,60,74,3.8,44,51,62,0,9,501,2021,,0,0,0,29.18,30.1,6.8,18,170,14,200
26-Jun,87,70,78,7.7,63,63,68,0,13,502,2021,RA,0.01,0,0,29.07,29.98,10.7,27,270,22,270
27-Jun,90,65,78,7.5,54,57,65,0,13,502,2021,,0,0,0,29.05,29.97,11.8,37,250,28,250
28-Jun,70,52,61,-9.7,66,50,55,4,0,503,2021,,0,0,0,29.14,30.08,5.8,16,320,13,290
29-Jun,80,46,63,-7.8,51,44,54,2,0,503,2021,,0,0,0,29.15,30.08,3.9,16,250,12,300
30-Jun,82,51,66,-5,47,46,56,0,1,504,2020,,T,0,0,29.08,30,4.2,21,260,16,220
1-Jul,74,52,63,-8.1,65,52,57,2,0,504,2020,"RA,FG,BR",0.3,0,0,29.03,29.98,8.3,26,320,20,310
2-Jul,79,49,64,-7.2,56,47,55,1,0,505,2020,,0,0,0,29.2,30.14,4,17,310,13,290
3-Jul,80,50,65,-6.3,51,48,57,0,0,505,2020,,0,0,0,29.16,30.09,4.2,17,150,14,170
4-Jul,83,51,67,-4.4,59,55,61,0,2,506,2020,,0,0,0,29.01,29.91,6.3,25,150,16,160
5-Jul,86,65,76,4.5,64,62,67,0,11,507,2019,"BR,HZ",0,0,0,28.95,29.87,7.8,24,290,20,260
6-Jul,88,67,78,6.5,63,62,67,0,13,507,2019,,0,0,0,28.91,29.82,8.3,24,250,18,270
7-Jul,89,64,76,4.4,71,63,67,0,11,508,2019,"TS,RA,BR",0.42,0,0,28.92,29.82,4.6,32,270,26,300
8-Jul,90,66,78,6.4,69,64,68,0,13,509,2018,"TS,RA,FG,BR,HZ",0.73,0,0,28.87,29.78,8.6,63,270,48,280
9-Jul,80,62,71,-0.7,65,57,62,0,6,509,2018,,0,0,0,28.97,29.92,8.5,23,300,18,300
10-Jul,83,56,70,-1.7,61,56,62,0,5,510,2017,,0,0,0,29.11,30.04,2.3,16,270,12,300
11-Jul,86,63,74,2.3,62,62,67,0,9,511,2017,RA,T,0,0,29.1,30,6.1,19,150,15,200
12-Jul,92,68,80,8.3,66,65,69,0,15,512,2016,"TS,RA,BR",0.27,0,0,28.97,29.88,12.3,48,300,36,300
13-Jul,87,69,78,6.3,76,68,71,0,13,512,2015,"TS,RA,BR",0.15,0,0,28.97,29.86,9.1,29,210,22,240
14-Jul,85,69,77,5.3,59,60,66,0,12,513,2015,,0,0,0,28.88,29.8,14.1,35,260,28,240
15-Jul,77,62,70,-1.7,72,59,62,0,5,514,2014,RA,T,0,0,29,29.95,8.6,21,290,16,290
16-Jul,77,56,66,-5.7,63,52,58,0,1,515,2013,,0,0,0,29.18,30.11,4.4,14,270,10,290
17-Jul,87,53,70,-1.7,63,58,63,0,5,516,2013,,0,0,0,29.12,30.04,12.4,36,180,30,190
18-Jul,86,66,76,4.3,58,60,67,0,11,517,2012,,T,0,0,29.15,30.09,9.7,34,220,24,230
19-Jul,84,62,73,1.4,58,57,64,0,8,518,2011,,T,0,0,29.28,30.21,5.6,19,10,14,10
20-Jul,91,62,76,4.4,54,59,66,0,11,519,2010,,0,0,0,29.26,30.19,5.4,17,170,12,180
21-Jul,89,68,78,6.4,74,67,71,0,13,519,2009,"TS,RA,BR",0.41,0,0,29.15,30.03,10,40,320,30,300
22-Jul,91,73,82,10.5,65,68,73,0,17,520,2009,,0,0,0,29.03,29.96,9.6,23,270,18,240
23-Jul,94,66,80,8.5,61,64,70,0,15,521,2008,BR,0,0,0,29.05,29.97,3.5,15,140,12,140
24-Jul,87,70,78,6.5,79,70,73,0,13,522,2007,"TS,RA,BR",0.88,0,0,29,29.91,9.4,32,220,25,220
25-Jul,87,67,77,5.6,62,65,70,0,12,523,2006,,0,0,0,29,29.93,8.9,22,270,17,270
26-Jul,87,61,74,2.6,64,62,67,0,9,524,2005,,0,0,0,29.1,30.02,3.4,23,310,12,280
27-Jul,89,64,76,4.7,66,62,67,0,11,525,2004,,0,0,0,29.07,29.98,4.9,32,360,24,360
28-Jul,86,63,74,2.7,73,63,67,0,9,526,2003,"TS,RA",0.04,0,0,29.01,29.92,5.5,29,350,21,350
29-Jul,79,64,72,0.8,69,60,64,0,7,527,2001,RA,T,0,0,29.05,29.97,8.1,27,350,20,30
30-Jul,71,63,67,-4.2,84,62,64,0,2,528,2000,"TS,RA,BR",0.15,0,0,29.06,30,7.4,18,40,14,50
31-Jul,79,64,72,0.9,79,63,65,0,7,529,1959,BR,0,0,0,29.1,30.03,4.9,15,320,12,20
1-Aug,84,59,72,0.9,66,59,64,0,7,530,1958,BR,0,0,0,29.15,30.09,2.7,15,10,9,30
2-Aug,87,62,74,3,72,64,68,0,9,532,1957,BR,0,0,0,29.16,30.09,2.9,12,50,10,70
3-Aug,92,64,78,7,60,63,68,0,13,533,1956,,0,0,0,29.14,30.05,2.7,14,170,12,170
4-Aug,93,67,80,9.1,50,59,67,0,15,534,1954,,0,0,0,29.07,29.97,5.7,20,230,14,180
5-Aug,90,66,78,7.1,62,64,69,0,13,535,1953,,0,0,0,28.93,29.84,10.1,25,300,18,310
6-Aug,85,60,72,1.2,61,57,63,0,7,536,1952,,0,0,0,29,29.93,5.3,19,270,13,290
7-Aug,83,59,71,0.3,59,55,61,0,6,537,1950,,0,0,0,29.11,30.05,5,17,310,14,10
8-Aug,85,54,70,-0.7,57,53,60,0,5,538,1949,,0,0,0,29.15,30.08,4.5,23,70,13,50
9-Aug,90,57,74,3.4,59,59,65,0,9,539,1948,,0,0,0,29.1,30.02,3.7,21,250,15,220
10-Aug,93,63,78,7.5,58,62,68,0,13,540,1946,,0,0,0,29.15,30.06,2.7,17,280,14,280
11-Aug,94,69,82,11.5,66,69,73,0,17,541,1945,RA,T,0,0,29.06,29.95,8.5,24,250,21,250
12-Aug,91,74,82,11.6,82,72,74,0,17,542,1943,"TS,RA,BR",1.08,0,0,28.92,29.84,6.1,30,280,21,280
13-Aug,86,70,78,7.7,80,70,73,0,13,543,1942,"TS,RA,BR",0.88,0,0,28.87,29.79,10.4,27,250,22,260
14-Aug,83,66,74,3.8,75,65,68,0,9,544,1941,"FG,BR",0,0,0,29.08,30.02,3.6,14,250,10,260
15-Aug,82,63,72,1.9,78,65,68,0,7,545,1939,"RA,BR",1.34,0,0,29.18,30.11,3.8,18,140,15,150
16-Aug,83,69,76,6,77,66,69,0,11,547,1938,"RA,BR",1.76,0,0,29.05,29.97,9.2,23,190,18,210
17-Aug,84,66,75,5.1,78,65,68,0,10,548,1936,"TS,RA,BR",0.2,0,0,29.13,30.05,7.1,31,330,25,320
18-Aug,84,62,73,3.2,71,64,67,0,8,549,1934,BR,0,0,0,29.13,30.04,4.6,15,220,12,200
19-Aug,82,68,75,5.3,75,66,69,0,10,550,1933,BR,0,0,0,29,29.9,8,21,250,17,240
20-Aug,82,67,74,4.4,80,67,69,0,9,551,1931,"RA,BR",0.58,0,0,28.8,29.7,10.1,28,200,22,270
21-Aug,73,59,66,-3.4,75,57,61,0,1,552,1930,,0.09,0,0,28.87,29.84,10.2,31,310,23,290
22-Aug,78,53,66,-3.3,65,53,58,0,1,553,1928,,0,0,0,29.21,30.16,4.4,18,250,13,240
23-Aug,80,57,68,-1.1,64,56,62,0,3,554,1927,,0,0,0,29.29,30.22,7,21,200,17,220
24-Aug,82,63,72,3.1,77,65,68,0,7,555,1925,BR,T,0,0,29.11,30.02,10,26,180,21,190
25-Aug,83,63,73,4.2,78,67,69,0,8,556,1923,"TS,RA,BR",0.1,0,0,29.05,29.98,9.1,21,250,16,270
26-Aug,82,61,72,3.4,70,60,64,0,7,557,1922,,0,0,0,29.18,30.13,4.1,20,270,14,260
27-Aug,78,62,70,1.6,85,65,66,0,5,558,1920,"TS,RA,BR",0.38,0,0,29.18,30.11,6.4,28,310,22,320
28-Aug,84,67,76,7.9,77,67,70,0,11,559,1918,BR,0,0,0,29.23,30.17,4.9,21,280,13,290
29-Aug,85,61,73,5.1,74,64,67,0,8,601,1917,"BR,HZ",0,0,0,29.31,30.24,2.6,14,100,10,110
30-Aug,83,69,76,8.3,77,66,68,0,11,602,1915,"TS,RA,BR",0.05,0,0,29.2,30.11,5.5,18,260,15,270
31-Aug,77,61,69,1.6,72,61,65,0,4,603,1913,"TS,RA,BR,HZ",0.17,0,0,29.1,30.02,6.9,19,20,14,50
1-Sep,73,56,64,-3.2,71,54,58,1,0,604,1911,,0,0,0,29.2,30.15,8,23,10,17,10
2-Sep,74,51,62,-4.9,70,52,57,3,0,605,1910,,0,0,0,29.32,30.26,6.3,19,40,15,60
3-Sep,77,49,63,-3.6,72,53,57,2,0,606,1908,,0,0,0,29.3,30.24,2.5,13,100,9,140
4-Sep,79,50,64,-2.3,68,55,59,1,0,607,1906,"FG,BR",0,0,0,29.29,30.23,4.2,16,130,13,210
5-Sep,85,60,72,6,65,61,66,0,7,608,1905,,0,0,0,29.23,30.15,7.7,23,180,18,190
6-Sep,90,73,82,16.3,70,70,73,0,17,609,1903,,0,0,0,29.15,30.05,10.6,23,240,20,210
7-Sep,86,70,78,12.7,82,71,73,0,13,610,1901,"TS,RA,BR",0.23,0,0,29.07,29.97,5.4,21,300,16,310
8-Sep,80,67,74,9,85,69,71,0,9,611,1859,"RA,BR",0.27,0,0,28.92,29.85,9.7,28,280,23,260
9-Sep,80,65,72,7.4,83,67,68,0,7,612,1857,"RA,FG,BR",0.04,0,0,29.03,29.95,3.4,13,190,10,140
10-Sep,73,58,66,1.7,82,61,64,0,1,613,1856,"RA,BR,HZ",0.22,0,0,28.9,29.83,10.7,39,270,32,260
11-Sep,72,53,62,-1.9,66,50,55,3,0,615,1854,,0,0,0,29.21,30.17,4.3,12,310,9,260
12-Sep,76,54,65,1.5,64,52,58,0,0,616,1852,,0,0,0,29.21,30.14,7.9,23,170,16,190
13-Sep,82,57,70,6.9,72,59,63,0,5,617,1850,TS,0,0,0,29.13,30.06,7.4,27,100,16,230
14-Sep,73,56,64,1.3,70,53,58,1,0,618,1849,RA,0.03,0,0,29.28,30.23,6,17,360,14,360
15-Sep,73,49,61,-1.3,67,49,54,4,0,619,1847,,0,0,0,29.33,30.26,3.8,23,60,14,70
16-Sep,79,53,66,4.1,67,56,61,0,1,620,1845,,0,0,0,29.15,30.06,9.4,21,180,16,150
17-Sep,78,64,71,9.5,83,64,66,0,6,621,1843,"RA,BR",0.64,0,0,28.98,29.9,8.6,20,220,16,250
18-Sep,78,57,68,6.9,77,59,62,0,3,622,1841,BR,0,0,0,29.03,29.97,4.2,18,290,14,280
19-Sep,83,53,68,7.3,64,55,61,0,3,623,1840,BR,0,0,0,29.1,30.03,6.2,21,200,17,200
20-Sep,82,57,70,9.7,60,54,61,0,5,624,1838,RA,T,0,0,29.21,30.15,3.2,18,310,14,310
21-Sep,81,54,68,8.2,80,60,63,0,3,625,1836,"TS,RA,FG,BR",0.05,0,0,29.23,30.17,4.1,36,290,28,290
22-Sep,83,61,72,12.6,74,62,66,0,7,626,1834,"FG,BR",0,0,0,29.15,30.07,3.6,15,220,13,220
23-Sep,71,58,64,5,82,59,61,1,0,628,1832,"FG,BR,HZ",0,0,0,29.16,30.11,7.5,22,10,18,10
24-Sep,69,51,60,1.4,71,49,54,5,0,629,1831,,0,0,0,29.29,30.24,6.7,18,60,14,60
25-Sep,75,49,62,3.9,62,49,55,3,0,630,1829,,0,0,0,29.21,30.11,8.7,24,150,18,150
26-Sep,68,51,60,2.3,65,49,55,5,0,631,1827,"RA,BR",0.18,0,0,28.95,29.88,12,35,250,29,250
27-Sep,66,50,58,0.7,59,42,50,7,0,632,1825,RA,T,0,0,28.84,29.77,12.4,36,250,28,260
28-Sep,66,48,57,0.1,77,49,52,8,0,633,1824,RA,0.02,0,0,28.97,29.93,8.3,23,50,18,60
29-Sep,61,55,58,1.5,90,56,57,7,0,634,1822,"RA,BR",1.22,0,0,29.21,30.17,12.4,27,50,20,50
30-Sep,61,58,60,3.9,90,56,57,5,0,635,1820,"TS,RA,BR",0.45,0,0,29.23,30.16,10.3,22,40,17,20
1-Oct,68,50,59,3.3,85,54,56,6,0,636,1818,"TS,RA,BR",0.24,0,0,29.11,30.04,7,24,190,18,190
2-Oct,69,50,60,4.8,82,52,55,5,0,637,1817,"FG,BR,HZ",0,0,0,29.08,30.03,3.4,12,260,8,320
3-Oct,67,51,59,4.1,85,54,56,6,0,639,1815,"FG,BR",T,0,0,29.16,30.11,3.7,13,140,9,160
4-Oct,74,49,62,7.5,75,53,57,3,0,640,1813,"BR,HZ",0,0,0,29.21,30.15,8.2,22,150,17,120
5-Oct,80,60,70,15.9,77,59,62,0,5,641,1811,"TS,RA,FG,BR",0.62,0,0,29.13,30.05,9.9,43,260,33,260
6-Oct,79,56,68,14.3,82,62,64,0,3,642,1810,"RA,FG,BR",0.01,0,0,29.2,30.13,4.8,18,180,15,180
7-Oct,82,50,66,12.7,69,55,60,0,1,643,1808,RA,T,0,0,29.12,30.06,12.4,32,280,25,270
8-Oct,58,41,50,-2.9,66,37,43,15,0,644,1806,RA,0,0,0,29.25,30.22,9.2,29,270,24,270
9-Oct,61,37,49,-3.6,69,37,43,16,0,645,1805,,0,0,0,29.41,30.38,2.5,16,350,12,20
10-Oct,64,37,50,-2.2,68,41,46,15,0,647,1803,,0,0,0,29.44,30.39,6.2,16,150,13,150
11-Oct,71,51,61,9.1,62,47,53,4,0,648,1801,,0,0,0,29.3,30.22,9.4,21,170,15,170
12-Oct,73,50,62,10.5,74,52,55,3,0,649,1800,"TS,RA,BR",0.44,0,0,29.05,29.99,11.2,44,240,30,240
13-Oct,57,38,48,-3.2,71,38,44,17,0,650,1758,,0,0,0,29.28,30.25,6.3,22,320,16,320
14-Oct,62,34,48,-2.8,69,38,44,17,0,651,1756,,0,0,0,29.36,30.3,5.5,18,160,14,150
15-Oct,70,46,58,7.5,75,51,55,7,0,653,1755,BR,0,0,0,29.13,30.06,12,26,210,21,210
16-Oct,68,62,65,14.8,88,61,62,0,0,654,1753,"TS,RA,BR",1.01,0,0,29.02,29.93,8.1,30,210,24,210
17-Oct,77,63,70,20.2,76,62,65,0,5,655,1751,"RA,BR",T,0,0,28.82,29.7,12.4,34,210,25,190
18-Oct,77,51,64,14.5,70,58,62,1,0,656,1750,,0,0,0,28.72,29.67,14.6,36,210,28,260
19-Oct,72,47,60,10.8,71,48,53,5,0,657,1748,BR,0.01,0,0,29.13,30.08,3.3,21,230,13,290
20-Oct,56,49,52,3.1,80,48,51,13,0,659,1747,RA,T,0,0,29.14,30.08,7.1,21,360,16,360
21-Oct,51,41,46,-2.6,65,35,41,19,0,700,1745,,T,0,0,29.13,30.08,8.8,23,20,16,10
22-Oct,55,35,45,-3.2,67,35,41,20,0,701,1744,,0,0,0,29.08,30.04,8.6,25,290,20,290
23-Oct,68,40,54,6.1,67,43,48,11,0,702,1742,BR,0,0,0,28.98,29.93,7,24,360,17,20
24-Oct,55,36,46,-1.6,65,36,42,19,0,703,1741,,0,0,0,29.29,30.28,8.6,23,320,17,300
25-Oct,54,31,42,-5.3,70,32,37,23,0,705,1739,,0,0,0,29.48,30.45,2.7,17,310,13,290
26-Oct,40,34,37,-10,86,34,36,28,0,706,1738,"RA,BR",0.62,T,0,29.4,30.33,10.4,29,110,24,100
27-Oct,45,34,40,-6.7,87,38,40,25,0,707,1737,"RA,BR",0.15,0,0,29.16,30.14,6.4,19,350,14,330
28-Oct,58,31,44,-2.3,75,40,44,21,0,708,1735,BR,0,0,0,29.24,30.17,9.5,28,210,22,200
29-Oct,70,54,62,16,76,55,58,3,0,710,1734,BR,0,0,0,28.97,29.91,12.7,33,220,23,220
30-Oct,54,37,46,0.3,79,40,44,19,0,711,1732,RA,0.1,0,0,29.17,30.14,6.3,18,350,14,360
31-Oct,54,30,42,-3.4,73,35,40,23,0,712,1731,BR,0,0,0,29.23,30.17,7.7,23,150,17,150
