date,maxTemp,minTemp,avgTemp,tempDept,relHum,dewPoint,wetBulbTemp,heatDays,coolDays,sunrise,sunset,weatherType,precip,snow,snowDepth,stnPressure,seaPressure,windSpeed,windPeakSpeed,windPeakDir,windSusSpeed,windSusDir
20-Dec,31,9,20,-6.8,49,5,17,45,0,806,1707,,0,0,5,29.25,30.21,17.3,42,210,33,240
21-Dec,33,20,26,-0.6,75,20,25,39,0,806,1708,"BR,HZ",0,0,5,29.11,30.07,9.7,35,110,18,150
22-Dec,39,29,34,7.6,71,26,31,31,0,807,1708,,0,0,5,29.15,30.17,11,22,260,18,260
23-Dec,36,27,32,5.9,75,25,29,33,0,807,1709,"RA,FZRA,BR,UP,HZ",0.08,T,4,29.28,30.23,9.6,24,150,15,220
24-Dec,38,34,36,10.1,83,31,33,29,0,807,1710,"RA,SN,BR,UP",0.07,T,4,29.18,30.19,7.3,17,190,15,190
25-Dec,36,33,34,8.3,80,29,32,31,0,808,1710,"RA,BR",0.05,0,3,29.48,30.45,12,29,140,22,110
26-Dec,55,34,44,18.5,79,38,42,21,0,808,1711,"RA,BR,UP",0.18,0,T,29.03,29.95,19.8,48,250,35,250
27-Dec,34,27,30,4.7,71,20,26,35,0,808,1712,,0,T,0,29.05,30.04,16.5,44,270,33,270
28-Dec,39,26,32,6.9,66,22,29,33,0,809,1712,,0,0,0,29.07,30,10.3,29,150,24,160
29-Dec,38,29,34,9.1,71,25,31,31,0,809,1713,SN,T,0.1,0,28.75,29.72,16.7,37,260,29,270
30-Dec,30,26,28,3.2,64,17,25,37,0,809,1714,SN,T,T,0,28.95,29.92,14,30,290,23,260
31-Dec,43,28,36,11.4,56,21,30,29,0,809,1715,,0,0,0,28.7,29.66,16.4,35,240,26,250
